cycle,location_x,location_y,num_crias
1235,372.463225975661,523.2582015388411,3
1243,657.7233855572852,163.49507843261995,3
1537,725.3069526073808,514.1778393138462,1
1550,725.7993342906332,304.58473952327586,1
1574,657.7233855572852,163.49507843261995,3
1628,47.33519082415772,490.6747034832838,5
1853,725.3069526073808,514.1778393138462,3
1879,725.7993342906332,304.58473952327586,3
1902,518.1177922430254,450.1973228999839,4
2150,518.1177922430254,450.1973228999839,2
2153,725.3069526073808,514.1778393138462,2
2177,518.1177922430254,450.1973228999839,6
2186,377.0671636462534,213.5435966126064,1
2192,372.463225975661,523.2582015388411,5
2194,478.5437595892921,329.65046908043024,5
2475,518.1177922430254,450.1973228999839,3
2476,47.33519082415772,490.6747034832838,5
2501,725.7993342906332,304.58473952327586,4
2508,377.0671636462534,213.5435966126064,2
2765,725.7993342906332,304.58473952327586,4
2788,518.1177922430254,450.1973228999839,1
2792,307.8583124555869,339.7511019861749,1
3088,725.3069526073808,514.1778393138462,2
3198,725.3069526073808,514.1778393138462,3
3209,725.3069526073808,514.1778393138462,3
3254,725.3069526073808,514.1778393138462,3
3304,725.3069526073808,514.1778393138462,6
3407,307.8583124555869,339.7511019861749,4
3417,47.33519082415772,490.6747034832838,2
4355,307.8583124555869,339.7511019861749,6
